,id,nome_carro,marca,modelo,preco_novo,custo_minimo,custo_maximo,idade_veiculo,km_dirigidos,tipo_vendedor,tipo_combustivel,tipo_transmissao,milhagem,motor,poder_maximo,assentos,preco_venda,ipva,km_por_ano,fabricacao
0,1,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,711000.0,748000.0,5,20000,particular,Petrol,Manual,18.9,1197,82,5,550000,22000,4000.0,2019
1,4,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,1014000.0,1379000.0,6,30000,distribuidora,Diesel,Manual,22.77,1498,98.59,5,570000,22800,5000.0,2018
2,5,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,516000.0,694000.0,8,35000,particular,Petrol,Manual,18.9,998,67.1,5,350000,14000,4375.0,2016
3,6,Hyundai i10,Hyundai,i10,New Car (On-Road Price) : Rs.6.54-6.63 Lakh*,654000.0,663000.0,8,40000,distribuidora,Petrol,Manual,20.36,1197,78.9,5,315000,12600,5000.0,2016
4,7,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.26-7.01 Lakh*,526000.0,701000.0,3,17512,distribuidora,Petrol,Manual,20.51,998,67.04,5,410000,16400,5837.333333333333,2021
5,8,Hyundai Venue,Hyundai,Venue,New Car (On-Road Price) : Rs.7.70-13.02 Lakh*,770000.0,1302000.0,2,20000,particular,Petrol,Automatic,18.15,998,118.35,5,1050000,42000,10000.0,2022
6,12,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,635000.0,927000.0,4,28321,distribuidora,Petrol,Manual,16.6,1197,85,5,511000,20440,7080.25,2020
7,14,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000.0,1829000.0,8,65278,distribuidora,Diesel,Manual,22.32,1582,126.32,5,425000,17000,8159.75,2016
8,19,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,5130000.0,6408000.0,7,65000,distribuidora,Diesel,Automatic,19.27,2143,170,5,1425000,57000,9285.714285714286,2017
9,22,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,681000.0,1054000.0,6,20000,particular,Petrol,Manual,21.4,1197,83.1,5,600000,24000,3333.3333333333335,2018
10,23,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,698000.0,1040000.0,5,40000,particular,Petrol,Manual,20.85,1197,83.14,5,575000,23000,8000.0,2019
11,25,Volkswagen Vento,Volkswagen,Vento,New Car (On-Road Price) : Rs.10.12-16.08 Lakh*,1012000.0,1608000.0,8,47000,distribuidora,Petrol,Manual,16.09,1598,103.2,5,425000,17000,5875.0,2016
12,27,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.10.95-18.30 Lakh*,1095000.0,1830000.0,2,15000,particular,Diesel,Manual,19.67,1582,126.2,5,1225000,49000,7500.0,2022
13,29,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.36-16.57 Lakh*,1236000.0,1657000.0,6,50000,particular,Petrol,Manual,17.4,1497,117.3,5,750000,30000,8333.333333333334,2018
14,30,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,905000.0,1069000.0,10,25000,particular,Diesel,Manual,13.6,2523,63,7,350000,14000,2500.0,2014
15,33,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000.0,1680000.0,14,77253,distribuidora,Petrol,Manual,17.7,1497,78,5,145000,5800,5518.071428571428,2010
16,35,Toyota Fortuner,Toyota,Fortuner,New Car (On-Road Price) : Rs.37.47-43.30 Lakh*,3747000.0,4330000.0,8,110000,particular,Diesel,Manual,13,2982,168.5,7,1150000,46000,13750.0,2016
17,36,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,381000.0,629000.0,4,30000,particular,Petrol,Manual,23.01,999,67,5,340000,13600,7500.0,2020
18,37,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,704000.0,990000.0,5,39993,distribuidora,Petrol,Manual,18.6,1199,88.76,5,465000,18600,7998.6,2019
19,39,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.59-23.36 Lakh*,1659000.0,2336000.0,9,185000,particular,Diesel,Manual,15.1,2179,140,7,600000,24000,20555.555555555555,2015
20,45,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,763000.0,1266000.0,3,40000,particular,Petrol,Manual,18.6,1197,81.83,5,598000,23920,13333.333333333334,2021
21,46,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000.0,1680000.0,6,31180,distribuidora,Petrol,Automatic,18,1497,117.3,5,700000,28000,5196.666666666667,2018
22,53,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,668000.0,1042000.0,5,52427,distribuidora,Petrol,Automatic,21.4,1197,83.1,5,590000,23600,10485.4,2019
23,54,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,893000.0,1047000.0,1,40000,particular,Diesel,Manual,21,1498,74.96,7,850000,34000,40000.0,2023
24,56,Mahindra KUV100,Mahindra,KUV100,New Car (On-Road Price) : Rs.6.88-8.75 Lakh*,688000.0,875000.0,3,17000,particular,Petrol,Manual,18.15,1198,82,5,550000,22000,5666.666666666667,2021
25,58,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,681000.0,1054000.0,5,22000,distribuidora,Petrol,Manual,15.4,1590,94,5,625000,25000,4400.0,2019
26,59,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,698000.0,1040000.0,5,54000,particular,Petrol,Manual,20.85,1197,83.14,5,600000,24000,10800.0,2019
27,60,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,511000.0,679000.0,2,10000,particular,Petrol,Manual,20.51,998,67.04,5,445000,17800,5000.0,2022
28,61,Maruti Ignis,Maruti,Ignis,New Car (On-Road Price) : Rs.5.77-8.56 Lakh*,577000.0,856000.0,2,20000,particular,Petrol,Manual,20.89,1197,81.8,5,530000,21200,10000.0,2022
29,63,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,597000.0,604000.0,3,53237,concessionaria,CNG,Manual,26.6,998,58.16,5,410000,16400,17745.666666666668,2021
30,64,Datsun RediGO,Datsun,RediGO,New Car (On-Road Price) : Rs.3.29-5.50 Lakh*,329000.0,550000.0,3,27263,particular,Petrol,Manual,22.5,999,68,5,350000,14000,9087.666666666666,2021
31,66,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,1284000.0,1809000.0,7,110000,particular,Diesel,Manual,22.32,1582,126.3,5,520000,20800,15714.285714285714,2017
32,67,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,959000.0,1283000.0,5,70000,particular,Diesel,Manual,22.54,1396,88.73,5,750000,30000,14000.0,2019
33,71,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000.0,1341000.0,2,39000,distribuidora,Petrol,Manual,18.6,1197,81.83,5,655000,26200,19500.0,2022
34,75,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,783000.0,1312000.0,3,34000,particular,Petrol,Manual,18.6,1197,81.83,5,550000,22000,11333.333333333334,2021
35,76,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,1510000.0,1992000.0,4,50000,particular,Diesel,Manual,15.4,1997,120,7,1150000,46000,12500.0,2020
36,78,Mahindra Marazzo,Mahindra,Marazzo,New Car (On-Road Price) : Rs.13.89-16.43 Lakh*,1389000.0,1643000.0,2,36000,particular,Diesel,Manual,17.3,1497,121,7,990000,39600,18000.0,2022
37,79,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,1274000.0,1817000.0,8,47876,distribuidora,Diesel,Manual,25,1493,113.42,5,551000,22040,5984.5,2016
38,80,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,1654000.0,2328000.0,3,21500,particular,Diesel,Automatic,15.1,2179,152.87,7,1650000,66000,7166.666666666667,2021
39,82,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,685000.0,870000.0,4,58000,distribuidora,Petrol,Manual,18.16,1196,86.8,5,500000,20000,14500.0,2020
40,83,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,685000.0,1026000.0,3,30000,particular,Petrol,Manual,21.21,1197,81.8,5,575000,23000,10000.0,2021
41,85,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,602000.0,791000.0,4,19093,concessionaria,Petrol,Manual,18.16,1196,86.8,5,525000,21000,4773.25,2020
42,86,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,702000.0,985000.0,7,50000,particular,Petrol,Manual,18,1198,86.7,5,400000,16000,7142.857142857143,2017
43,87,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,516000.0,694000.0,15,37000,distribuidora,Petrol,Manual,14,1061,64,5,155000,6200,2466.6666666666665,2009
44,90,Honda City,Honda,City,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,1313000.0,1745000.0,8,70000,particular,Petrol,Manual,16.8,1497,116.3,5,545000,21800,8750.0,2016
45,91,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,362000.0,609000.0,5,25000,particular,Petrol,Manual,25.17,799,53.3,5,240000,9600,5000.0,2019
46,93,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,685000.0,845000.0,4,30000,particular,Petrol,Manual,18.16,1196,86.8,5,480000,19200,7500.0,2020
47,94,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,783000.0,1312000.0,8,15000,particular,Petrol,Manual,18.5,1197,82.9,5,375000,15000,1875.0,2016
49,97,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000.0,1341000.0,5,22000,distribuidora,Petrol,Manual,18.5,1197,82.9,5,550000,22000,4400.0,2019
50,99,Volkswagen Polo,Volkswagen,Polo,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,694000.0,1119000.0,5,78000,distribuidora,Petrol,Manual,18.78,1198,74,5,450000,18000,15600.0,2019
51,100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,New Car (On-Road Price) : Rs.47.62-1.60 Cr*,476200000.0,16000000.0,9,74352,distribuidora,Petrol,Automatic,11.74,1796,186,5,775000,31000,8261.333333333334,2015
52,101,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,516000.0,694000.0,7,37000,particular,Petrol,Manual,20.51,998,67.04,5,350000,14000,5285.714285714285,2017
53,102,Honda City,Honda,City,New Car (On-Road Price) : Rs.14.79-17.55 Lakh*,1479000.0,1755000.0,7,69000,distribuidora,Diesel,Manual,25.1,1498,98.6,5,550000,22000,9857.142857142857,2017
54,103,Kia Seltos,Kia,Seltos,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,1119000.0,1920000.0,2,12120,particular,Petrol,Manual,16.8,1497,113.4,5,1080000,43200,6060.0,2022
55,106,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,347000.0,466000.0,8,55000,particular,Petrol,Manual,22.74,796,47.3,5,230000,9200,6875.0,2016
56,107,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.60-11.28 Lakh*,860000.0,1128000.0,10,160000,particular,Diesel,Manual,21.9,1396,90,5,270000,10800,16000.0,2014
57,109,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.6.13-7.91 Lakh*,613000.0,791000.0,10,40000,particular,Petrol,Manual,15.6,1196,70,5,130000,5200,4000.0,2014
58,110,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,653000.0,995000.0,9,46000,distribuidora,Petrol,Manual,19.1,1197,85.8,5,370000,14800,5111.111111111111,2015
59,111,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,668000.0,1042000.0,4,25000,distribuidora,Petrol,Manual,21.4,1197,83.1,5,570000,22800,6250.0,2020
60,115,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000.0,1829000.0,3,14000,distribuidora,Diesel,Automatic,22,1582,126.2,5,1250000,50000,4666.666666666667,2021
61,116,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000.0,1341000.0,5,11000,distribuidora,Petrol,Manual,18.6,1197,81.83,5,590000,23600,2200.0,2019
62,117,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,530000.0,665000.0,3,5000,particular,Petrol,Automatic,23.1,998,67.04,5,475000,19000,1666.6666666666667,2021
63,118,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,1014000.0,1379000.0,4,55000,distribuidora,Diesel,Manual,23,1498,98.96,5,685000,27400,13750.0,2020
64,120,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.3.97-6.48 Lakh*,397000.0,648000.0,3,22000,particular,Petrol,Manual,23.01,999,67,5,330000,13200,7333.333333333333,2021
65,121,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,668000.0,1042000.0,3,7671,concessionaria,Petrol,Manual,21.01,1197,81.8,5,650000,26000,2557.0,2021
66,122,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,511000.0,679000.0,5,66000,particular,Petrol,Manual,20.51,998,67.04,5,325000,13000,13200.0,2019
67,123,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,656000.0,1004000.0,3,45156,distribuidora,Petrol,Automatic,21.21,1197,81.8,5,640000,25600,15052.0,2021
68,124,Hyundai Venue,Hyundai,Venue,New Car (On-Road Price) : Rs.7.19-12.12 Lakh*,719000.0,1212000.0,2,25000,particular,Petrol,Manual,18.27,998,118.35,5,949000,37960,12500.0,2022
69,126,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,1284000.0,1809000.0,6,120000,particular,Diesel,Manual,23.9,1582,126.2,5,660000,26400,20000.0,2018
70,127,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,635000.0,927000.0,7,28000,distribuidora,Petrol,Manual,16.1,1197,85,5,435000,17400,4000.0,2017
71,128,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.74-13.09 Lakh*,974000.0,1309000.0,8,55000,distribuidora,Diesel,Manual,21.9,1396,88.76,5,385000,15400,6875.0,2016
72,130,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000.0,1829000.0,2,14000,distribuidora,Diesel,Automatic,22,1582,126.2,5,1250000,50000,7000.0,2022
73,132,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.30-7.07 Lakh*,530000.0,707000.0,12,98780,distribuidora,Petrol,Manual,18.9,998,67.1,5,155000,6200,8231.666666666666,2012
